Professor,Courses
Michael H Hanna,"BCBP-2900, BIOL-0060, BIOL-1010, BIOL-1015, BIOL-1020, BIOL-1960, BIOL-2120, BIOL-2310, BIOL-2410, BIOL-2900, BIOL-2930, BIOL-2940, BIOL-2980, BIOL-2990, BIOL-4080, BIOL-4090, BIOL-4110, BIOL-4120, BIOL-4620, BIOL-4930, BIOL-4940, BIOL-4962, BIOL-4963, BIOL-4980, BIOL-6690, BIOL-6940, BIOL-6990, BIOL-9990, BMED-4110, BMED-4120, BMED-4130, CHEM-4940, ISCI-6210, ISCI-6240, ITEC-4940"
Charles W Boylen,"BCBP-4990, BIOL-1010, BIOL-2310, BIOL-2900, BIOL-2930, BIOL-2940, BIOL-4070, BIOL-4370, BIOL-4400, BIOL-4700, BIOL-4850, BIOL-4940, BIOL-4961, BIOL-4963, BIOL-4970, BIOL-4990, BIOL-6310, BIOL-6330, BIOL-6940, BIOL-6961, BIOL-6970, BIOL-6990, BIOL-9990, ENVE-6970, ENVE-6990, ISCI-6960"
Robert H Parsons,"BIOL-1010, BIOL-1020, BIOL-2900, BIOL-2930, BIOL-2940, BIOL-2990, BIOL-4280, BIOL-4290, BIOL-4940, BIOL-6940, BIOL-6965, BIOL-6966, BIOL-6967, BIOL-6968, BIOL-6990, BIOL-9990, ISCI-4120, ISCI-6210, ISCI-6960"
George F Edick,"BCBP-4940, BCBP-4990, BIOL-1020, BIOL-2120, BIOL-2900, BIOL-2940, BIOL-2990, BIOL-4020, BIOL-4050, BIOL-4060, BIOL-4330, BIOL-4740, BIOL-4940, BIOL-4961, BIOL-4963, BIOL-4965, BIOL-6330, BIOL-6940, BIOL-6961, BIOL-6963"
Sandra Nierzwicki-Bauer,"BIOL-1010, BIOL-2900, BIOL-2940, BIOL-2960, BIOL-2990, BIOL-4680, BIOL-4870, BIOL-4940, BIOL-4960, BIOL-4961, BIOL-4970, BIOL-6360, BIOL-6510, BIOL-6520, BIOL-6680, BIOL-6940, BIOL-6963, BIOL-6970, BIOL-6990, BIOL-9990, CHEM-4950, ERTH-9990, ISCI-6960"
Charles J Pfau,"BIOL-4360, BIOL-4410, BIOL-4420, BIOL-4940"
Christopher Bystroff,"BCBP-4210, BCBP-4310, BCBP-4550, BCBP-4870, BCBP-4940, BCBP-4961, BCBP-4990, BCBP-6210, BCBP-6310, BCBP-6420, BCBP-6870, BCBP-6961, BCBP-6970, BCBP-9990, BIOL-4520, BIOL-4540, BIOL-4550, BIOL-4940, BIOL-4941, BIOL-4961, BIOL-4970, BIOL-4990, BIOL-6410, BIOL-6420, BIOL-6510, BIOL-6900, BIOL-6940, BIOL-6961, BIOL-6962, BIOL-6963, BIOL-6970, BIOL-6990, BIOL-9990, CSCI-6980, CSCI-6990, CSCI-9990, DSES-6940, ITEC-6980"
Susan M Smith,"BIOL-2930, BIOL-4540, BIOL-4550, BIOL-4620, BIOL-4630, BIOL-4720, BIOL-4940, BIOL-6420, BIOL-6690, BIOL-6940, BIOL-6961, BIOL-6962, BIOL-6963, BIOL-6980, BIOL-6990, BIOL-9990, BMED-6970"
Donna Eisemann Crone,"BCBP-4310, BCBP-4640, BCBP-4990, BCBP-6310, BCBP-6640, BCBP-6990, BIOL-2120, BIOL-2940, BIOL-2990, BIOL-4350, BIOL-4620, BIOL-4630, BIOL-4640, BIOL-4720, BIOL-4740, BIOL-4940, BIOL-4970, BIOL-4990, BIOL-6350, BIOL-6640, BIOL-6690, BIOL-6961, BIOL-6963, ISCI-6240"
Jonathan Zehr,BIOL-4940
Jonathan C Newell,"BMED-1340, BMED-2200, BMED-2940, BMED-4010, BMED-4940, BMED-6940, BMED-6962, BMED-6980, BMED-6990, BMED-9990, ECSE-4940, ENGR-1330, ENGR-1960, ENGR-2050"
Meredith Elaine Hasenbein,BMED-2940
Rena Bizios,"BMED-2940, BMED-2950, BMED-4240, BMED-4940, BMED-6240, BMED-6940, BMED-6990, BMED-9990, ENGR-2250, PHYS-2940"
Lee E Ostrander,"BMED-4470, BMED-4490, BMED-4600, BMED-4940, BMED-6940, BMED-6980, BMED-6990, ENGR-2350"
Robert L Spilker,"BMED-2200, BMED-4500, BMED-4540, BMED-4940, BMED-6990, BMED-9990, CIVL-4240, ENGR-1100, MANE-4240, MANE-6990, MANE-9990"
Allen Zelman,"BMED-4940, BMED-4961, BMED-6940"
Deepak Vashishth,"BCBP-9990, BIOL-6550, BIOL-6966, BMED-2540, BMED-2940, BMED-2941, BMED-2950, BMED-4500, BMED-4510, BMED-4540, BMED-4940, BMED-4941, BMED-4960, BMED-4961, BMED-4962, BMED-6500, BMED-6510, BMED-6700, BMED-6940, BMED-6961, BMED-6963, BMED-6964, BMED-6966, BMED-6967, BMED-6980, BMED-6990, BMED-9990, CHEM-6963, CHEM-6966, CHME-6966, ENGR-6960, LGHT-6966"
John Beyer Brunski,"BMED-2100, BMED-2940, BMED-2961, BMED-4600, BMED-4940, BMED-4962, BMED-6280, BMED-6290, BMED-6940, BMED-6990, BMED-9990, ENGR-1100, MANE-6990, MANE-9990"
Daniel Walczyk,"BMED-6940, BMED-6980, DSES-6961, ENGR-2020, ENGR-2050, ENGR-2940, ENGR-4710, ENGR-4720, ENGR-6120, ENGR-6960, MANE-2940, MANE-2941, MANE-4260, MANE-4550, MANE-4940, MANE-4941, MANE-4961, MANE-6110, MANE-6230, MANE-6800, MANE-6961, MANE-6962, MANE-6963, MANE-6964, MANE-6965, MANE-6967, MANE-6969, MANE-6980, MANE-6990, MANE-9990, MTLE-6965"
Badrinath Roysam,"BMED-4800, BMED-4962, BMED-6940, BMED-6961, BMED-6965, BMED-6980, BMED-6990, BMED-9990, CSCI-6990, CSCI-9990, ECSE-2610, ECSE-2660, ECSE-4800, ECSE-4940, ECSE-4962, ECSE-4963, ECSE-4968, ECSE-4980, ECSE-6940, ECSE-6963, ECSE-6970, ECSE-6980, ECSE-6990, ECSE-9990"
Linda T. McCloskey,"ADMN-4050, CHME-2020, CIVL-2940, ENGR-1010, ENGR-2050, ENGR-2940, ENGR-4010, MGMT-1240, MGMT-1250, MGMT-1940, MGMT-7230"
Michael M Abbott,"CHME-2010, CHME-2020, CHME-2940, CHME-4050, CHME-4180, CHME-4940, CHME-6570, CHME-6990"
Joel Plawsky,"CHME-1010, CHME-2100, CHME-2940, CHME-4010, CHME-4020, CHME-4100, CHME-4150, CHME-4160, CHME-4940, CHME-4963, CHME-4964, CHME-4966, CHME-4968, CHME-6510, CHME-6520, CHME-6640, CHME-6900, CHME-6940, CHME-6962, CHME-6963, CHME-6965, CHME-6966, CHME-6968, CHME-6990, CHME-9990, ENGR-2250, ENVE-4160, MTLE-9990"
B Wayne Bequette,"CHEM-4940, CHME-1010, CHME-2050, CHME-4030, CHME-4050, CHME-4060, CHME-4500, CHME-4660, CHME-4940, CHME-4961, CHME-4962, CHME-4963, CHME-4964, CHME-4965, CHME-4967, CHME-6650, CHME-6660, CHME-6940, CHME-6961, CHME-6962, CHME-6963, CHME-6966, CHME-6990, CHME-9990, DSES-4961, MANE-4961, MTLE-4961"
Steven Cramer,"BCBP-6963, BCBP-9990, BMED-4960, BMED-6960, BMED-6964, CHEM-6964, CHEM-9990, CHME-2980, CHME-4040, CHME-4400, CHME-4940, CHME-4941, CHME-6440, CHME-6940, CHME-6961, CHME-6962, CHME-6967, CHME-6980, CHME-6990, CHME-9990, MGMT-6980"
Bruce Nauman,"CHEM-9990, CHME-1960, CHME-2980, CHME-4500, CHME-4940, CHME-4963, CHME-6640, CHME-6962, CHME-6963, CHME-6990, CHME-9990"
Jonathan Dordick,"BCBP-4990, BCBP-9990, BIOL-4963, BIOL-6961, BIOL-6965, BIOL-6969, BIOL-6990, BIOL-9990, BMED-4969, BMED-6962, BMED-6966, BMED-6968, BMED-9990, CHEM-4964, CHEM-6964, CHEM-6966, CHME-2010, CHME-2020, CHME-2940, CHME-2941, CHME-4170, CHME-4430, CHME-4940, CHME-4941, CHME-4961, CHME-4967, CHME-6430, CHME-6940, CHME-6961, CHME-6963, CHME-6964, CHME-6966, CHME-6967, CHME-6969, CHME-6990, CHME-9990"
Georges Belfort,"BCBP-9990, BIOL-6940, CHEM-2940, CHME-2940, CHME-2950, CHME-4940, CHME-4961, CHME-4962, CHME-4963, CHME-4964, CHME-4968, CHME-6410, CHME-6420, CHME-6470, CHME-6510, CHME-6940, CHME-6960, CHME-6961, CHME-6962, CHME-6964, CHME-6968, CHME-6970, CHME-6990, CHME-9990"
Timothy Cale,"CHEM-6940, CHME-4600, CHME-6940, CHME-6961, CHME-6964, CHME-6990, CHME-9990"
Shekhar S Garde,"BCBP-9990, CHEM-9990, CHME-2020, CHME-2940, CHME-2950, CHME-4940, CHME-4962, CHME-4964, CHME-6570, CHME-6610, CHME-6900, CHME-6940, CHME-6961, CHME-6962, CHME-6963, CHME-6990, CHME-9990, ENGR-1700, ENGR-1960, ENGR-2250"
Arthur Fontijn,"CHEM-9990, CHME-2940, CHME-2980, CHME-4980, CHME-6970, CHME-6990, CHME-9990"
Elmar R. Altwicker,"CHME-2940, CHME-6940, CHME-6990, CHME-9990, ENVE-6990"
Eugene Rymaszewski,"CHME-6990, CHME-9990, ECSE-4290, ECSE-6940, MTLE-4290, MTLE-6940, MTLE-6990"
Peter C Wayner,CHME-9990
William N. Gill,"BIOL-6990, CHME-6990, CHME-9990"
Thomas Mark Apple,"ADMN-6020, CHEM-1200, CHEM-1500, CHEM-2940, CHEM-6940, CHEM-6990, CHEM-9990, ENGR-1500"
James A Moore,"CHEM-1100, CHEM-1300, CHEM-1500, CHEM-2210, CHEM-2220, CHEM-2230, CHEM-2240, CHEM-2250, CHEM-2260, CHEM-2270, CHEM-2290, CHEM-2940, CHEM-2950, CHEM-4620, CHEM-4940, CHEM-4990, CHEM-6210, CHEM-6630, CHEM-6650, CHEM-6990, CHEM-9990, ENGR-1500"
Cornelius T Moynihan,"CHEM-1600, ENGR-1600, MTLE-4100"
Eileen M. Skelly Frame,"CHEM-1600, CHEM-2110, CHEM-2150, CHEM-2960, CHEM-4110, CHEM-4150, CHEM-4530, CHEM-4940, ENGR-1600"
Ganpati Ramanath,"CHEM-1600, CHME-9990, ENGR-1100, ENGR-1600, ENGR-2050, ENGR-2941, ISCI-1600, MANE-6940, MTLE-1200, MTLE-2940, MTLE-2941, MTLE-2980, MTLE-4200, MTLE-4940, MTLE-4941, MTLE-4961, MTLE-6120, MTLE-6430, MTLE-6460, MTLE-6900, MTLE-6940, MTLE-6961, MTLE-6962, MTLE-6963, MTLE-6980, MTLE-6990, MTLE-9990, PHYS-1600"
James Crivello,"CHEM-1100, CHEM-1200, CHEM-1600, CHEM-2210, CHEM-2240, CHEM-2250, CHEM-2260, CHEM-2270, CHEM-2940, CHEM-2950, CHEM-4620, CHEM-6210, CHEM-6650, CHEM-6940, CHEM-6990, CHEM-9990, ENGR-1600"
John Carter,"CHEM-1300, CHEM-1500, CHEM-1600, CHEM-2120, CHEM-2940, CHEM-4530, CHEM-4940, CHEM-6940, CHME-2980, ENGR-1500, ENGR-1600, ENGR-2940"
Linda Schadler,"CHEM-1600, ENGR-1600, ENGR-1961, ENGR-2530, ESCI-9990, MTLE-2940, MTLE-4250, MTLE-4450, MTLE-4940, MTLE-4961, MTLE-6940, MTLE-6980, MTLE-6990, MTLE-9990"
Pulickel M. Ajayan,"CHEM-1500, CHEM-1600, ENGR-1600, MTLE-6900"
Richard W Siegel,"CHEM-1600, CHEM-6990, CHEM-9990, ECON-4940, ECON-9990, ENGR-1100, ENGR-1600, ENGR-2010, ESCI-9990, ISCI-1600, MTLE-4961, MTLE-6480, MTLE-6960, MTLE-6963, MTLE-6980, MTLE-6990, MTLE-9990, PHYS-1600"
Curtis Breneman,"BCBP-2990, BCBP-9990, CHEM-1100, CHEM-1200, CHEM-2210, CHEM-2220, CHEM-2230, CHEM-2240, CHEM-2250, CHEM-2260, CHEM-2290, CHEM-2940, CHEM-2950, CHEM-4900, CHEM-4940, CHEM-4960, CHEM-4961, CHEM-4962, CHEM-4963, CHEM-6010, CHEM-6210, CHEM-6510, CHEM-6940, CHEM-6961, CHEM-6963, CHEM-6990, CHEM-9990, ITEC-6980, ITEC-6990"
Arthur G Schultz,"CHEM-2240, CHEM-6220, CHEM-9990"
Mark Wentland,"CHEM-2260, CHEM-2940, CHEM-2950, CHEM-4300, CHEM-4330, CHEM-4340, CHEM-4940, CHEM-4990, CHEM-6300, CHEM-6330, CHEM-6900, CHEM-6940, CHEM-6962, CHEM-9990"
Ronald Albert Bailey,"CHEM-2030, CHEM-2360, CHEM-2930, CHEM-2940, CHEM-2950, CHEM-4010, CHEM-4020, CHEM-4060, CHEM-4120, CHEM-4150, CHEM-4530, CHEM-4810, CHEM-4940, CHEM-4950, CHEM-4962, CHEM-4964, CHEM-6020, CHEM-6940, CHEM-6970, CHEM-9990, CSCI-9990, ERTH-4810"
Joseph Warden,"BCBP-4760, BCBP-4810, BCBP-6810, BIOL-4760, CHEM-1300, CHEM-1500, CHEM-2440, CHEM-4310, CHEM-4410, CHEM-4460, CHEM-4470, CHEM-4760, CHEM-4940, CHEM-4950, CHEM-4964, CHEM-6530, CHEM-6961, CHEM-6962, CHEM-6964, ENGR-1500"
Henry B Hollinger,"CHEM-2940, CHEM-6480, CHEM-6940"
Leonard V Interrante,"CHEM-1100, CHEM-1940, CHEM-2030, CHEM-2940, CHEM-4060, CHEM-4940, CHEM-6020, CHEM-6961, CHEM-9990, MTLE-9990"
Alan R Cutler,"CHEM-1100, CHEM-2210, CHEM-2220, CHEM-2230, CHEM-2240, CHEM-2250, CHEM-2260, CHEM-2290, CHEM-2950, CHEM-4940, CHEM-4950, CHEM-4990, CHEM-6210, CHEM-6620, CHEM-6900, CHEM-6940, CHEM-6990, CHEM-9990"
Brian C. Benicewicz,"CHEM-1300, CHEM-1500, CHEM-2230, CHEM-2240, CHEM-2250, CHEM-2260, CHEM-2940, CHEM-2950, CHEM-4620, CHEM-4900, CHEM-4940, CHEM-4950, CHEM-4962, CHEM-4990, CHEM-6660, CHEM-6960, CHEM-6961, CHEM-6962, CHEM-9990, CHME-4965, CHME-6964, ENGR-1500, MANE-4964, MANE-6964, MTLE-4963, MTLE-6961"
Christin T Choma,"BCBP-2990, BCBP-4790, BCBP-4810, BCBP-4961, BCBP-6790, BCBP-6810, BCBP-6961, BCBP-6990, CHEM-2230, CHEM-2240, CHEM-2250, CHEM-2940, CHEM-2950, CHEM-4310, CHEM-4790, CHEM-4940, CHEM-4950, CHEM-4961, CHEM-4990, CHEM-6310, CHEM-6760, CHEM-6940, CHEM-6990, CHEM-9990"
Gerald M Korenowski,"BIOL-6990, BIOL-9990, CHEM-1100, CHEM-1110, CHEM-1120, CHEM-1200, CHEM-1210, CHEM-1300, CHEM-1500, CHEM-1960, CHEM-2110, CHEM-2440, CHEM-2940, CHEM-2950, CHEM-4410, CHEM-4420, CHEM-4440, CHEM-4460, CHEM-4950, CHEM-4960, CHEM-4962, CHEM-4963, CHEM-6450, CHEM-6530, CHEM-6961, CHEM-9990, ENGR-1500"
Julie Stenken,"BCBP-4810, BCBP-6810, BCBP-6961, BMED-4964, BMED-6965, CHEM-2110, CHEM-2150, CHEM-2940, CHEM-2950, CHEM-4110, CHEM-4150, CHEM-4530, CHEM-4940, CHEM-4960, CHEM-4961, CHEM-4963, CHEM-4990, CHEM-6520, CHEM-6940, CHEM-6963, CHEM-9990"
Charles W. Gillies,"CHEM-1100, CHEM-1200, CHEM-1300, CHEM-1500, CHEM-2440, CHEM-2950, CHEM-4400, CHEM-4450, CHEM-4460, CHEM-4900, CHEM-4961, CHEM-6480, ENGR-1500"
Sonja Krause,"CHEM-1500, CHEM-4640, CHEM-4810, CHEM-4940, CHEM-6620, CHEM-6640, CHEM-9990, ENGR-1500"
Herbert M Schwartz,"CHEM-4160, CHEM-4962, CHEM-4963, CHEM-6160, CHEM-6961, CHEM-6962, CHEM-6964"
James P. Ferris,"BCBP-4990, CHEM-9990"
Steven Breyman,"ARTS-6940, CHEM-6990, CHEM-9990, ECON-6990, ENVE-4940, STSH-1110, STSH-2940, STSH-2962, STSH-4120, STSH-4310, STSH-4940, STSH-4960, STSH-4961, STSH-4963, STSH-4980, STSH-6940, STSS-1110, STSS-1310, STSS-1330, STSS-2290, STSS-2300, STSS-2940, STSS-2962, STSS-4120, STSS-4310, STSS-4320, STSS-4370, STSS-4500, STSS-4840, STSS-4940, STSS-4960, STSS-4961, STSS-4962, STSS-4963, STSS-4964, STSS-4965, STSS-4980, STSS-6100, STSS-6300, STSS-6320, STSS-6600, STSS-6650, STSS-6940, STSS-6960, STSS-6961, STSS-6962, STSS-6963, STSS-6970, STSS-6990, STSS-9990"
Dimitri A Grivas,"CIVL-2940, CIVL-4570, CIVL-4580, CIVL-4940, CIVL-4961, CIVL-6940, CIVL-6990, CIVL-9990, DSES-4940, DSES-4961, ECSE-4940, ENGR-2530, ENGR-2940, ITEC-4940, MANE-4940"
George F List,"CIVL-2030, CIVL-2940, CIVL-2950, CIVL-2961, CIVL-4920, CIVL-4940, CIVL-4964, CIVL-6240, CIVL-6270, CIVL-6910, CIVL-6940, CIVL-6962, CIVL-6990, CIVL-9990, DSES-2940, DSES-6990, ITEC-4940"
Francis E Griggs,CIVL-2961
Michael J O'Rourke,"CIVL-2940, CIVL-2950, CIVL-4070, CIVL-4080, CIVL-4940, CIVL-6310, CIVL-6320, CIVL-6980, CIVL-6990, CIVL-9990, ENGR-1100"
Thomas F Zimmie,"CIVL-1100, CIVL-1961, CIVL-2630, CIVL-2950, CIVL-2961, CIVL-4140, CIVL-4150, CIVL-4920, CIVL-4940, CIVL-6480, CIVL-6510, CIVL-6530, CIVL-6550, CIVL-6940, CIVL-6980, CIVL-6990, CIVL-9990, ENGR-2940, ENVE-4710, ENVE-6110, ERTH-4710, ERTH-6710"
Jacob Fish,"CIVL-4240, CIVL-6670, CIVL-6780, CIVL-6940, CIVL-6961, CIVL-6962, CIVL-6964, CIVL-6990, CIVL-9990, MANE-4240, MANE-6670, MANE-6780, MANE-6961, MANE-6964, MANE-6969, MANE-6990, MANE-9990, MATH-6962"
Robert HP Dunn,"CIVL-2040, CIVL-4270"
Diane L. Kenneally,CIVL-4670
Michael Awad Shamma,"CIVL-4640, CIVL-4670"
Russell J. Manson,"CIVL-4940, ENVE-4940, ENVE-6940, ENVE-6990, ENVE-9990, ERTH-9990"
Simeon J Komisar,"BIOL-6963, CHEM-4810, CIVL-4940, CIVL-4962, ENVE-2110, ENVE-2950, ENVE-4150, ENVE-4160, ENVE-4170, ENVE-4180, ENVE-4200, ENVE-4310, ENVE-4320, ENVE-4350, ENVE-4940, ENVE-4962, ENVE-6940, ENVE-6961, ENVE-6980, ENVE-6990, ENVE-9990"
H Daniel Rogers,CIVL-4962
Jeffrey Adler,"CIVL-4963, CIVL-6962, CIVL-6990, DSES-6990"
Mark S Shephard,"CIVL-4240, CIVL-4962, CIVL-4964, CIVL-6660, CIVL-6680, CIVL-6961, CIVL-6963, CSCI-4964, CSCI-4967, CSCI-6963, CSCI-6967, CSCI-6980, CSCI-6990, CSCI-9990, ENGR-1100, ENGR-2530, ITEC-4961, ITEC-6961, MANE-2940, MANE-2941, MANE-4240, MANE-4940, MANE-4941, MANE-6660, MANE-6680, MANE-6969, MANE-6980, MANE-6990, MANE-9990, MATH-6980"
Harry F Tiersten,"CIVL-6210, MANE-4330, MANE-6210, MANE-6250, MANE-6961, MANE-6990, MANE-9990"
James B Dall,"ARCH-5330, CIVL-2040, CIVL-2950, CIVL-4270, CIVL-6310, CIVL-6320"
Mourad Zeghal,"CIVL-2950, CIVL-4120, CIVL-4150, CIVL-4940, CIVL-6520, CIVL-6540, CIVL-6900, CIVL-6940, CIVL-6961, CIVL-6962, CIVL-6970, CIVL-6980, CIVL-6990, CIVL-9990, ENGR-1100, ENGR-2530"
Ricardo Dobry,"CIVL-2630, CIVL-6510, CIVL-6540, CIVL-6940, CIVL-6961, CIVL-6990, CIVL-9990, ENGR-1100"
Larry J Feeser,"CIVL-2670, CIVL-4070, CIVL-4080, CIVL-4440, CIVL-4961, CIVL-4962, CIVL-6940, CIVL-6990, CIVL-9990, ENGR-1100"
Judith A Picarillo,COOP-4010
Christina Lynn Prell,"COMM-1510, IHSS-1960, STSS-4940"
Tamar Gordon,"ARTS-4850, ARTS-4910, ARTS-4940, COMM-2440, COMM-2450, COMM-2510, COMM-2960, COMM-2961, COMM-2962, COMM-4340, COMM-4350, COMM-4550, COMM-4620, COMM-4910, COMM-4930, COMM-4961, COMM-4964, COMM-4965, COMM-4968, COMM-4970, COMM-6410, COMM-6940, COMM-6963, COMM-9990, IHSS-1492, IHSS-1961, IHSS-1962, IHSS-1966, IHSS-1968, IHSS-1969, IHSS-4940, IHSS-6410, IHSS-6960, INQR-1492, LANG-4940, LITR-4450, STSS-2510"
Roger Grice,"ARCH-2940, COMM-1510, COMM-4180, COMM-4300, COMM-4310, COMM-4420, COMM-4520, COMM-4710, COMM-4760, COMM-4770, COMM-4940, COMM-4960, COMM-4961, COMM-4962, COMM-4964, COMM-4965, COMM-4973, COMM-6300, COMM-6420, COMM-6480, COMM-6620, COMM-6710, COMM-6750, COMM-6770, COMM-6810, COMM-6940, COMM-6941, COMM-6942, COMM-6960, COMM-6961, COMM-6962, COMM-6963, COMM-6964, COMM-6965, COMM-6967, COMM-6971, COMM-6980, COMM-6990, COMM-9990, CSCI-4940, CSCI-6940, CSCI-6970, CSCI-6980, EPOW-6940, ESCI-9990, IHSS-4940, ITEC-2210, ITEC-2940, ITEC-4940, ITEC-6940, ITEC-6980, ITWS-2210, ITWS-4980, ITWS-6990, STSH-4940, STSS-2940, WRIT-2510, WRIT-2940, WRIT-2961, WRIT-2963, WRIT-4940, WRIT-6940"
Stephen Michael Halloran,"COMM-1510, COMM-1940, COMM-4600, COMM-4610, COMM-4962, COMM-4963, COMM-6940, COMM-6962, COMM-6963, COMM-6968, COMM-6970, COMM-9990, IENV-4940, IHSS-1960, IHSS-1966, IHSS-1975, LITR-2940"
Robert Krull,"COMM-1510, COMM-4170, COMM-4750, COMM-4790, COMM-4961, COMM-6530, COMM-6600, COMM-6760, COMM-6940, COMM-6961, COMM-6962, COMM-6965, COMM-6971, COMM-9990, LANG-6940"
Cora E. Shaw,COMM-4962
James P Zappen,"COMM-4180, COMM-4300, COMM-4963, COMM-4966, COMM-6260, COMM-6270, COMM-6300, COMM-6810, COMM-6940, COMM-6941, COMM-6962, COMM-6963, COMM-6966, COMM-6967, COMM-6972, COMM-9990, IHSS-1550, IHSS-1976, IHSS-4940, LITR-2110, LITR-2960, WRIT-2110, WRIT-2510, WRIT-2960, WRIT-2961, WRIT-4120, WRIT-4940, WRIT-4960, WRIT-4962, WRIT-6960"
Cheryl Ann Geisler,"COMM-4180, COMM-4962, COMM-4967, COMM-6110, COMM-6340, COMM-6350, COMM-6810, COMM-6940, COMM-6943, COMM-6960, COMM-6961, COMM-6962, COMM-6964, COMM-6966, COMM-6967, COMM-6990, COMM-9990, ITEC-4961, WRIT-4550, WRIT-4964, WRIT-6550, WRIT-6940, WRIT-6964"
Audrey Grace Bennett,"COMM-2570, COMM-2660, COMM-2940, COMM-2961, COMM-4400, COMM-4430, COMM-4570, COMM-4650, COMM-4660, COMM-4670, COMM-4710, COMM-4960, COMM-4962, COMM-4963, COMM-4964, COMM-4965, COMM-4969, COMM-4971, COMM-4972, COMM-6390, COMM-6400, COMM-6430, COMM-6570, COMM-6660, COMM-6940, COMM-6960, COMM-6961, COMM-6962, COMM-6963, COMM-6964, COMM-6969, COMM-9990, IHSS-1610, STSS-2210"
Merrill Duane Whitburn,"COMM-6240, COMM-6280, COMM-6940, COMM-6990, EMBA-6820, LITR-2360, LITR-2961, LITR-4940, WRIT-2340, WRIT-2510, WRIT-2940"
Joseph Walther,"COMM-4340, COMM-4961, COMM-6510, COMM-6630, COMM-6730, COMM-6940, COMM-6966, COMM-6969, COMM-9990, IHSS-1960, PSYC-2940, PSYC-4940, PSYC-4966, PSYC-6961, PSYC-6962"
Patricia Search,"COMM-2940, COMM-2941, COMM-4320, COMM-4460, COMM-4470, COMM-4690, COMM-4780, COMM-4880, COMM-4940, COMM-4941, COMM-4960, COMM-4962, COMM-4963, COMM-4964, COMM-4965, COMM-4967, COMM-4968, COMM-4969, COMM-6320, COMM-6510, COMM-6560, COMM-6740, COMM-6750, COMM-6780, COMM-6880, COMM-6940, COMM-6960, COMM-6961, COMM-6964, COMM-6965, COMM-6967, COMM-6969, COMM-6980, COMM-9990"
Teresa M Harrison,"COMM-6510, COMM-6940, COMM-9990"
William F Hart-Davidson,"COMM-4180, COMM-6480, COMM-6810, COMM-6940, COMM-6961, COMM-6962, COMM-6963, COMM-6971, COMM-9990, IHSS-4940, ITEC-4940, ITEC-4961, ITEC-6980, WRIT-2410, WRIT-2510, WRIT-2940, WRIT-2961, WRIT-2962, WRIT-4410, WRIT-4961, WRIT-4965, WRIT-6410, WRIT-6940, WRIT-6961, WRIT-6962"
C Lee Odell,"COMM-2962, COMM-6110, COMM-6940, COMM-6965, COMM-9990, LITR-2940, WRIT-1110, WRIT-2110, WRIT-2410, WRIT-2520, WRIT-2940, WRIT-2962, WRIT-4160, WRIT-4961, WRIT-6160, WRIT-6940, WRIT-6961"
Karen Burke Lefevre,"ARTS-4910, COMM-4910, COMM-6940, COMM-9990, WRIT-2410, WRIT-2500, WRIT-2961, WRIT-2962, WRIT-2963, WRIT-2964, WRIT-2965, WRIT-4940, WRIT-4962, WRIT-4964"
Michael M. Danchak,"COMM-6990, CSCI-1010, CSCI-1100, CSCI-1961, CSCI-4600, CSCI-4940, CSCI-4974, CSCI-6320, CSCI-6940, CSCI-6980, CSCI-6990, CSCI-9990, ITEC-2961, PSYC-2950"
Darren Troy Lim,CSCI-1190
R Lindsay Todd,"CSCI-1190, CSCI-2965"
David R Musser,"CSCI-1200, CSCI-4020, CSCI-4430, CSCI-4940, CSCI-6090, CSCI-6940, CSCI-6969, CSCI-6980, CSCI-6990, CSCI-9990, ITEC-6980"
David Lee Hollinger,"CSCI-1100, CSCI-1961, CSCI-2200, CSCI-2220, CSCI-2500, CSCI-2940, CSCI-2961, CSCI-4150, CSCI-4210, CSCI-4220, CSCI-4940, CSCI-6940, CSCI-6968, CSCI-6980, CSCI-6990, CSCI-9990, ECSE-4940, ECSE-4980, ITEC-1100, ITEC-1961, ITEC-2110, ITEC-2940, ITEC-4940, ITEC-4961"
Daniel M. Manthey,"CSCI-2210, CSCI-2230"
Alok K Mehta,"CSCI-2220, CSCI-2500, CSCI-2961, CSCI-4940, CSCI-4961, CSCI-4963, CSCI-6940, CSCI-6980"
Eric A. Breimer,"CSCI-1190, CSCI-2300, CSCI-4940, ITEC-1961"
John D Valois,"CSCI-2300, CSCI-6090"
Charles V Stewart,"CSCI-1100, CSCI-1200, CSCI-2300, CSCI-2400, CSCI-2960, CSCI-4270, CSCI-4940, CSCI-4961, CSCI-4962, CSCI-4965, CSCI-4967, CSCI-4968, CSCI-4972, CSCI-6270, CSCI-6940, CSCI-6965, CSCI-6966, CSCI-6967, CSCI-6971, CSCI-6972, CSCI-6974, CSCI-6980, CSCI-6990, CSCI-9990, ECSE-6966, ECSE-6969, MATH-4940, MATH-4961, MATH-4964, MATH-6962"
Christopher D. Carothers,"CSCI-2500, CSCI-4250, CSCI-4320, CSCI-4940, CSCI-4966, CSCI-4971, CSCI-4972, CSCI-6360, CSCI-6940, CSCI-6962, CSCI-6964, CSCI-6965, CSCI-6968, CSCI-6980, CSCI-6990, CSCI-9990"
